,title,price,link
0,"Dell 15 Thin & Light
                                        Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD
                                        Graphics/15.6"" (39.62cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon
                                        Black/Spill-Resistant KB/1.69kg  ","51,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTY0Njc0ODk5MzcxMTkyOjE3MjA3MDIwOTM6c3BfYXRmOjMwMDEyMTI3NDg1MzYzMjo6MDo6&url=%2FDell-Vostro-Metal-i5-1235U-35-56Cms%2Fdp%2FB0BQJ7WR2R%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3NVZ09554GIHV%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCvHmNVXz9Em_zYkXhAxxBeEkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRfpjeGJgDzlnQ493QYrydCA1NlgUxkcWs6oGEWbUJFwgAfEw8IZCnDOVGJiSs6MXXfRhrEeH4UAN4RYHTrWVuEqyX5_7uWaOOmqC52Yla0NpXOyOTnQd66JmOfztxHBD_ABvAABbuOGbH4ju52H4hxs.M3iAD6zYrHk4VJsmA-zlW1wzoGFgUGs5lx4h1MGrr_M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720702093%26sprefix%3Dlaptop%252Caps%252C286%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Acer Aspire Lite 12th Gen Intel
                                        Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD)
                                        AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg
 ","54,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTY0Njc0ODk5MzcxMTkyOjE3MjA3MDIwOTM6c3BfYXRmOjMwMDE3OTQ3ODc3NzUzMjo6MDo6&url=%2FAcer-i7-1255U-Premium-Windows-AL15-52%2Fdp%2FB0D262KC1J%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3NVZ09554GIHV%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCvHmNVXz9Em_zYkXhAxxBeEkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRfpjeGJgDzlnQ493QYrydCA1NlgUxkcWs6oGEWbUJFwgAfEw8IZCnDOVGJiSs6MXXfRhrEeH4UAN4RYHTrWVuEqyX5_7uWaOOmqC52Yla0NpXOyOTnQd66JmOfztxHBD_ABvAABbuOGbH4ju52H4hxs.M3iAD6zYrHk4VJsmA-zlW1wzoGFgUGs5lx4h1MGrr_M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720702093%26sprefix%3Dlaptop%252Caps%252C286%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN  ","25,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_6?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCvHmNVXz9Em_zYkXhAxxBeEkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRfpjeGJgDzlnQ493QYrydCA1NlgUxkcWs6oGEWbUJFwgAfEw8IZCnDOVGJiSs6MXXfRhrEeH4UAN4RYHTrWVuEqyX5_7uWaOOmqC52Yla0NpXOyOTnQd66JmOfztxHBD_ABvAABbuOGbH4ju52H4hxs.M3iAD6zYrHk4VJsmA-zlW1wzoGFgUGs5lx4h1MGrr_M&dib_tag=se&keywords=laptop&qid=1720702093&sprefix=laptop%2Caps%2C286&sr=8-6
3,(Refurbished) Lenovo Thinkpad Laptop L480 Full HD Screen Intel Core i5 :: 8th Generation :: 8350u Processor :: 32 GB Ram :: 512 GB SSD :: 14 Inches Notebook Computer  ,"25,491",https://amazon.in//Refurbished-Lenovo-Thinkpad-Laptop-Screen/dp/B0C1YQ8RV8/ref=sr_1_67?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-67
4,"(Refurbished) HP Chromebook C640 10th Gen Intel Core i5 FHD Thin & Light Touchscreen Laptop (8 GB DDR4 RAM/64 GB eMMC SSD + 128 GB MicroSD Card/14"" (35.6 cm) FHD/Chrome OS/WiFi/BT/Webcam/Intel Graphics)  ","18,000",https://amazon.in//Refurbished-HP-Chromebook-Touchscreen-Graphics/dp/B0C58DRSF3/ref=sr_1_68?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-68
5,"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU  ","45,990",https://amazon.in//HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_69?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-69
6,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050, Cosmos Gray/1.86Kg), B12UCX-1695IN  ","54,990",https://amazon.in//MSI-i5-12450H-Windows-GeForce-B12UCX-1695IN/dp/B0CV9S9VTD/ref=sr_1_70?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-70
7,"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS  ","37,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK322WS/dp/B0CCPBPYSB/ref=sr_1_71?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-71
8,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS  ","35,990",https://amazon.in//ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_72?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-72
9,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","84,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_73?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-73
